Ref,Val,Package,PosX,PosY,Rot,Side
"BT1","Battery","BatteryHolder_Keystone_1058_1x2032",-20.800000,13.600000,180.000000,bottom
"AE1","Antenna_Chip","CA-03",18.250000,28.600000,0.000000,top
"C1","2.2uf","C_0402_1005Metric",16.000000,16.800000,0.000000,top
"C2","2.2uf","C_0402_1005Metric",16.000000,13.000000,0.000000,top
"C3","4.7uf","C_0402_1005Metric",24.677500,9.190000,-90.000000,top
"C4","4.7uf","C_0402_1005Metric",24.677500,7.190000,90.000000,top
"C5","0.1uf","C_0402_1005Metric",7.818055,7.660697,-135.000000,top
"C6","0.1uf","C_0402_1005Metric",21.000000,19.200000,-45.000000,top
"C7","2.2uf","C_0402_1005Metric",24.800000,15.800000,180.000000,top
"C8","0.1uf","C_0402_1005Metric",10.072693,2.133483,-45.000000,top
"C9","4.7uf","C_0402_1005Metric",30.528904,4.544051,-45.000000,top
"C10","0.1uf","C_0402_1005Metric",25.700000,11.900000,180.000000,top
"C11","10uf","C_0402_1005Metric",34.439411,8.260589,-45.000000,top
"D1","D","D_0402_1005Metric",33.000000,9.100000,45.000000,top
"D2","LED","LED_0402_1005Metric",31.228940,7.379550,-135.000000,top
"J1","USB_C_Receptacle_USB2.0","USB_C_Receptacle_HRO_TYPE-C-31-M-12",21.000000,-0.560000,0.000000,top
"L1","22uh","L_Taiyo-Yuden_MD-2020",15.600000,14.900000,-90.000000,top
"R1","4.7k","R_0402_1005Metric",9.232269,9.074910,45.000000,top
"R2","4.7k","R_0402_1005Metric",11.346518,6.946519,45.000000,top
"R3","1k","R_0402_1005Metric",9.939376,5.539376,-135.000000,top
"R4","10k","R_0402_1005Metric",14.173912,4.820488,-45.000000,top
"R5","10k","R_0402_1005Metric",12.759699,6.234702,135.000000,top
"R6","5.1k","R_0402_1005Metric",18.200000,5.400000,180.000000,top
"R7","5.1k","R_0402_1005Metric",27.000000,5.400000,0.000000,top
"R8","2k","R_0402_1005Metric",32.000000,3.100000,135.000000,top
"R9","1k","R_0402_1005Metric",29.814726,5.965336,45.000000,top
"SW1","SW_Push","bt-342",21.000000,7.800000,180.000000,top
"U1","BH1750FVI","BH1750FVI",9.577691,7.315275,45.000000,top
"U2","ME6216A33M3G","SOT-23",27.277500,8.190000,0.000000,top
"U3","CH573F","QFN-28-1EP_4x4mm_P0.45mm_EP2.4x2.4mm",21.000000,14.700000,0.000000,top
"U4","SHT31-DIS","Sensirion_DFN-8-1EP_2.5x2.5mm_P0.5mm_EP1.1x1.7mm",11.769749,3.830539,-135.000000,top
"U5","TP4054","SOT-23-5",33.067418,5.823915,-135.000000,top
"Y1","Crystal","Crystal_SMD_2012-2Pin_2.0x1.2mm_HandSoldering",16.480000,18.710000,180.000000,top
"Y2","Crystal_GND24","Crystal_SMD_2016-4Pin_2.0x1.6mm",26.200000,13.800000,0.000000,top
